"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Central Europe and the Baltics","CEB","Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)","NV.AGR.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3700.11466375658","3861.74124343779","3755.04128716985","3542.91453807215","3429.10946532814","3363.91804521446","3844.90110692751","4329.1520322195","4570.23002469346","5746.87800339023","5598.98705647695","5770.00055195728","5390.28165009289","6363.43228449745","6722.61323780841","5962.73742209689","6613.99645299219","5897.55611361018","6797.72567479849","7301.92879594905","7204.09174475675","8150.35777510252","8280.05490002802","8661.05825496565","9107.99725502729","","","",
"Switzerland","CHE","Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)","NV.AGR.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28326.4139383127","29935.0659560962","26825.6517441849","25954.7976307129","26195.1900671106","26227.6660589803","25203.4116819054","25017.538428773","24454.2387172859","24425.7575279432","24787.5181447896","25698.3806570403","22183.8268369606","28425.2158940101","27210.360943449","26150.5502604752","25974.5255014914","28157.9357423586","32340.0234086235","29679.2731082486","31565.9133744106","29878.6595099718","27634.4488167227","29710.0598841282","27581.4375236646","28094.3107165268","29189.7429084515","32259.7434164374","35053.5200767866","","","",
"Channel Islands","CHI","Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)","NV.AGR.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)","NV.AGR.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3279.16440564385","3747.10875462004","4111.61824237389","4473.68617282768","4752.59989482494","5008.42415429876","5447.76645061505","5628.14016813387","5664.23710142784","5975.57152505649","6575.27273692368","6805.06482116455","6667.01580982309","7479.77429326377","8239.91568158457","8885.21240614933","9154.24820258244","9938.18248970033","9968.79624767372","10030.0652357595","10992.6252187609","10631.0013134884","10959.107448597","10925.3548332078","11422.2177148082","11406.2441745011","11706.5227541059","11816.3854855129","11936.92687234","","","",
"China","CHN","Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)","NV.AGR.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","955.372056817575","1003.67332928852","1073.53754346977","1142.81621790747","1232.88531812097","1316.12740223543","1363.07239767203","1400.9293192721","1418.92375218145","1437.14823385846","1474.57501810275","1507.82330858297","1563.66435418395","1720.54950855223","1880.25827845766","2057.39001004183","2212.1939494205","2397.25005746144","2589.68438637884","2795.41263715893","3059.32713570731","3301.99427561524","3657.00459823745","4040.7487825549","4325.70868080549","4602.12751197866","4906.40766326231","5256.98008859352","5609.00580815274","","","",
"Cote d'Ivoire","CIV","Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)","NV.AGR.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2295.03311502685","2234.5881696406","2138.86542306122","2265.31985328303","2225.54041905916","2258.12807689299","2607.98233542586","2668.1986937193","2545.47919292882","2705.68125066836","2826.37533420201","2906.01901626226","","","",
"Cameroon","CMR","Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)","NV.AGR.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","493.399881889","507.766205746692","553.280281672489","569.29718132914","554.368822460271","570.050851215692","571.2299678286","586.517272181111","605.402776710111","618.39083318241","643.712541617089","647.980075463181","619.679742628117","655.70000835837","650.7205988856","634.163361039855","652.188825631449","692.885439361921","717.719873748987","782.122539765734","803.748786441053","836.725948522572","901.844744598922","964.459458952778","1007.23620871183","1046.55372809055","1066.8364579633","1106.10123285144","1120.46723129272","","","",
"Congo, Dem. Rep.","COD","Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)","NV.AGR.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","491.831328027244","485.639348398612","473.129671721685","451.058687476372","486.927775987692","483.73669336653","457.31845176009","439.955184528273","438.013968390764","374.708181338009","359.311062240229","337.821130400435","331.745048540263","329.134260887124","322.444044373271","337.866686909228","344.721565652487","351.502404652972","358.657140571679","369.559630996759","381.596085063743","393.878701328458","401.955643856913","412.344194450491","421.548179734816","423.350211671618","418.494925716416","414.634538225646","416.81636746902","","","",
"Congo, Rep.","COG","Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)","NV.AGR.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1185.40949634314","1229.54210925381","1077.77970625945","1006.98567892494","1041.90416195344","1018.80107595492","993.044949282899","983.44607975415","888.277701224255","906.407245377102","958.775002756318","1022.65497558835","1059.44602332938","1083.37636661774","1109.13923833272","1084.8195270638","1019.07998918974","1055.3780113847","1039.44564709346","1038.16768331284","1051.0297694784","1180.14267750367","1213.64977340323","1210.33195517374","1162.91856225266","1134.75785677821","1207.07878206697","1173.30080991829","1156.66073947677","","","",
"Colombia","COL","Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)","NV.AGR.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3406.45242030161","3352.82861106852","3287.32293952289","3332.82591151372","3417.50910919293","3446.25059108496","3442.506422383","3498.64662648363","3626.28808435051","3685.33439079174","3460.94182046171","3611.29090314189","3617.63513805619","3798.07477694301","3853.50346525428","4025.43786663718","4281.02420065064","4208.9579479499","4078.19106367767","3967.93389389403","4018.65431109488","4071.85043638502","4505.51292021182","4633.30258030806","4771.73223689233","4850.35023115201","4886.31794443285","4854.06685675855","5278.19155817522","","","",
